image_id,file_name,date,time,zone_id,zone_name,coordinates,country,risk_level,resolution,source,num_ships,ship_types,cloud_cover,url
IMG-028,satellite_028.jpg,2026-03-10,11:58:19,ZONE-010,Canal de Suez,"30.0,32.5",Egypt,Medium,0.5m,WorldView-3,0,Aucun,32.3,https://example.com/satellite_images/satellite_028.jpg
IMG-029,satellite_029.jpg,2026-02-13,11:27:00,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,10m,WorldView-3,4,"Cargo, Navire de guerre, Corvette, Destroyer",45.3,https://example.com/satellite_images/satellite_029.jpg
IMG-030,satellite_030.jpg,2026-04-14,02:08:57,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,High,0.5m,Maxar,3,"Navire de guerre, Cargo, Navire civil",46.7,https://example.com/satellite_images/satellite_030.jpg
IMG-031,satellite_031.jpg,2026-09-19,00:02:21,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,0.5m,Maxar,5,"Chalutier, Cargo, Corvette, Frégate, Navire civil",3.7,https://example.com/satellite_images/satellite_031.jpg
IMG-032,satellite_032.jpg,2026-02-09,05:22:46,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,5m,Maxar,1,Sous-marin,11.8,https://example.com/satellite_images/satellite_032.jpg
IMG-033,satellite_033.jpg,2026-01-13,19:16:01,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,5m,Maxar,5,"Destroyer, Frégate, Navire de guerre, Corvette, Cargo",39.2,https://example.com/satellite_images/satellite_033.jpg
IMG-034,satellite_034.jpg,2026-06-24,03:02:12,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,5m,Maxar,4,"Sous-marin, Porte-avions, Chalutier, Bâtiment de débarquement",8.8,https://example.com/satellite_images/satellite_034.jpg
IMG-035,satellite_035.jpg,2026-11-04,07:36:16,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,10m,Sentinel-2,0,Aucun,16.0,https://example.com/satellite_images/satellite_035.jpg
IMG-036,satellite_036.jpg,2026-06-20,06:08:55,ZONE-011,Port de Busan,"35.1,129.0",South Korea,Medium,5m,Maxar,4,"Frégate, Pétrolier, Croiseur, Chalutier",45.5,https://example.com/satellite_images/satellite_036.jpg
IMG-037,satellite_037.jpg,2026-05-03,20:00:00,ZONE-003,Port de Shanghai,"31.2,121.5",China,Medium,10m,Landsat-8,5,"Navire de soutien, Corvette, Navire de guerre, Bâtiment de débarquement, Cargo",7.0,https://example.com/satellite_images/satellite_037.jpg
IMG-038,satellite_038.jpg,2026-01-06,16:36:37,ZONE-008,Golfe Persique,"26.0,55.0",International,Critical,0.5m,Maxar,0,Aucun,46.7,https://example.com/satellite_images/satellite_038.jpg
IMG-039,satellite_039.jpg,2026-02-25,09:12:06,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,0.5m,Maxar,5,"Navire de soutien, Navire civil, Porte-avions, Cargo, Frégate",8.8,https://example.com/satellite_images/satellite_039.jpg
IMG-040,satellite_040.jpg,2026-05-16,09:38:31,ZONE-012,Détroit d'Ormuz,"25.0,56.0",International,Critical,1m,Maxar,1,Cargo,14.8,https://example.com/satellite_images/satellite_040.jpg
IMG-041,satellite_041.jpg,2026-04-04,08:39:32,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,10m,WorldView-3,0,Aucun,2.5,https://example.com/satellite_images/satellite_041.jpg
IMG-042,satellite_042.jpg,2026-07-02,23:44:53,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,0.5m,Landsat-8,0,Aucun,29.9,https://example.com/satellite_images/satellite_042.jpg
IMG-043,satellite_043.jpg,2026-09-27,05:58:11,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,High,1m,Maxar,1,Navire de soutien,10.5,https://example.com/satellite_images/satellite_043.jpg
IMG-044,satellite_044.jpg,2026-03-31,04:23:18,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,0.5m,Maxar,3,"Navire civil, Croiseur, Bâtiment de débarquement",10.7,https://example.com/satellite_images/satellite_044.jpg
IMG-045,satellite_045.jpg,2026-11-26,06:39:41,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,5m,Sentinel-2,0,Aucun,49.4,https://example.com/satellite_images/satellite_045.jpg
IMG-046,satellite_046.jpg,2026-03-21,01:52:38,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,0.5m,PlanetScope,2,"Porte-avions, Navire civil",12.2,https://example.com/satellite_images/satellite_046.jpg
IMG-047,satellite_047.jpg,2026-01-29,17:19:53,ZONE-003,Port de Shanghai,"31.2,121.5",China,Medium,1m,WorldView-3,1,Navire civil,2.8,https://example.com/satellite_images/satellite_047.jpg
IMG-048,satellite_048.jpg,2026-03-09,00:27:29,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,1m,Maxar,1,Corvette,45.6,https://example.com/satellite_images/satellite_048.jpg
IMG-049,satellite_049.jpg,2026-04-10,18:36:32,ZONE-012,Détroit d'Ormuz,"25.0,56.0",International,Critical,10m,Maxar,3,"Destroyer, Croiseur, Pétrolier",38.2,https://example.com/satellite_images/satellite_049.jpg
IMG-050,satellite_050.jpg,2026-03-07,18:56:42,ZONE-014,Port de Singapour,"1.3,103.8",Singapore,Low,1m,Maxar,5,"Navire de guerre, Croiseur, Chalutier, Sous-marin, Bâtiment de débarquement",34.1,https://example.com/satellite_images/satellite_050.jpg
IMG-051,satellite_051.jpg,2026-08-14,06:24:32,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,1m,Maxar,1,Frégate,30.1,https://example.com/satellite_images/satellite_051.jpg
IMG-052,satellite_052.jpg,2026-02-17,10:50:44,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,10m,PlanetScope,5,"Porte-avions, Corvette, Bâtiment de débarquement, Navire de guerre, Chalutier",24.3,https://example.com/satellite_images/satellite_052.jpg
IMG-053,satellite_053.jpg,2026-05-30,12:04:38,ZONE-010,Canal de Suez,"30.0,32.5",Egypt,Medium,10m,PlanetScope,1,Sous-marin,36.4,https://example.com/satellite_images/satellite_053.jpg
IMG-054,satellite_054.jpg,2026-01-06,11:03:09,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,5m,Maxar,3,"Sous-marin, Navire civil, Frégate",6.0,https://example.com/satellite_images/satellite_054.jpg
IMG-055,satellite_055.jpg,2026-12-17,13:07:30,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,10m,Landsat-8,4,"Navire civil, Navire de soutien, Porte-avions, Sous-marin",44.5,https://example.com/satellite_images/satellite_055.jpg
IMG-056,satellite_056.jpg,2026-01-27,02:47:12,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,5m,Sentinel-2,1,Chalutier,27.5,https://example.com/satellite_images/satellite_056.jpg
IMG-057,satellite_057.jpg,2026-06-13,01:32:07,ZONE-013,Base navale de Pearl Harbor,"21.4,-157.9",USA,High,10m,Sentinel-2,0,Aucun,11.8,https://example.com/satellite_images/satellite_057.jpg
IMG-058,satellite_058.jpg,2026-05-23,19:07:48,ZONE-003,Port de Shanghai,"31.2,121.5",China,Medium,5m,PlanetScope,2,"Cargo, Frégate",37.5,https://example.com/satellite_images/satellite_058.jpg
IMG-059,satellite_059.jpg,2026-06-15,01:01:51,ZONE-011,Port de Busan,"35.1,129.0",South Korea,Medium,5m,Sentinel-2,2,"Cargo, Croiseur",15.8,https://example.com/satellite_images/satellite_059.jpg
IMG-060,satellite_060.jpg,2026-05-21,03:35:09,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,High,10m,Sentinel-2,1,Navire civil,28.9,https://example.com/satellite_images/satellite_060.jpg
IMG-061,satellite_061.jpg,2026-02-08,15:51:44,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,5m,Maxar,0,Aucun,48.4,https://example.com/satellite_images/satellite_061.jpg
IMG-062,satellite_062.jpg,2026-11-23,04:44:28,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,10m,Sentinel-2,5,"Sous-marin, Navire de guerre, Frégate, Navire civil, Croiseur",31.1,https://example.com/satellite_images/satellite_062.jpg
IMG-063,satellite_063.jpg,2026-06-16,18:23:46,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,5m,Maxar,4,"Cargo, Corvette, Frégate, Sous-marin",29.6,https://example.com/satellite_images/satellite_063.jpg
IMG-064,satellite_064.jpg,2026-03-12,14:37:19,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,1m,WorldView-3,4,"Navire de soutien, Corvette, Cargo, Bâtiment de débarquement",38.7,https://example.com/satellite_images/satellite_064.jpg
IMG-065,satellite_065.jpg,2026-02-20,20:07:34,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,1m,Sentinel-2,4,"Bâtiment de débarquement, Frégate, Cargo, Navire de guerre",8.4,https://example.com/satellite_images/satellite_065.jpg
IMG-066,satellite_066.jpg,2026-10-16,08:08:33,ZONE-001,Port militaire de Toulon,"43.12,5.9",France,High,1m,PlanetScope,0,Aucun,13.7,https://example.com/satellite_images/satellite_066.jpg
IMG-067,satellite_067.jpg,2026-10-11,21:36:25,ZONE-001,Port militaire de Toulon,"43.12,5.9",France,High,5m,Sentinel-2,5,"Destroyer, Pétrolier, Sous-marin, Navire de guerre, Frégate",15.5,https://example.com/satellite_images/satellite_067.jpg
IMG-068,satellite_068.jpg,2026-09-16,18:36:40,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,High,0.5m,WorldView-3,1,Navire civil,11.3,https://example.com/satellite_images/satellite_068.jpg
IMG-069,satellite_069.jpg,2026-04-18,17:08:26,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,0.5m,Landsat-8,4,"Chalutier, Navire civil, Navire de soutien, Porte-avions",18.1,https://example.com/satellite_images/satellite_069.jpg
IMG-070,satellite_070.jpg,2026-10-08,12:35:10,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,10m,Landsat-8,5,"Navire de guerre, Destroyer, Chalutier, Navire de soutien, Cargo",6.2,https://example.com/satellite_images/satellite_070.jpg
IMG-071,satellite_071.jpg,2026-04-10,06:27:32,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,10m,WorldView-3,0,Aucun,44.7,https://example.com/satellite_images/satellite_071.jpg
IMG-072,satellite_072.jpg,2026-10-26,04:56:27,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,10m,WorldView-3,0,Aucun,46.4,https://example.com/satellite_images/satellite_072.jpg
IMG-073,satellite_073.jpg,2026-06-29,00:59:57,ZONE-001,Port militaire de Toulon,"43.12,5.9",France,High,5m,Landsat-8,5,"Navire civil, Navire de soutien, Sous-marin, Destroyer, Navire de guerre",46.8,https://example.com/satellite_images/satellite_073.jpg
IMG-074,satellite_074.jpg,2026-12-26,19:38:46,ZONE-003,Port de Shanghai,"31.2,121.5",China,Medium,1m,Landsat-8,0,Aucun,40.2,https://example.com/satellite_images/satellite_074.jpg
IMG-075,satellite_075.jpg,2026-05-24,17:20:02,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,0.5m,Landsat-8,1,Frégate,40.8,https://example.com/satellite_images/satellite_075.jpg
IMG-076,satellite_076.jpg,2026-09-16,22:55:35,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,10m,WorldView-3,0,Aucun,11.1,https://example.com/satellite_images/satellite_076.jpg
IMG-077,satellite_077.jpg,2026-11-19,19:07:51,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,1m,Maxar,1,Frégate,30.9,https://example.com/satellite_images/satellite_077.jpg
IMG-078,satellite_078.jpg,2026-04-30,04:31:41,ZONE-014,Port de Singapour,"1.3,103.8",Singapore,Low,5m,Maxar,2,"Croiseur, Sous-marin",32.1,https://example.com/satellite_images/satellite_078.jpg
IMG-079,satellite_079.jpg,2026-05-17,15:07:23,ZONE-008,Golfe Persique,"26.0,55.0",International,Critical,0.5m,PlanetScope,1,Navire civil,41.3,https://example.com/satellite_images/satellite_079.jpg
IMG-080,satellite_080.jpg,2026-05-10,18:25:00,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,0.5m,WorldView-3,2,"Sous-marin, Navire de guerre",43.7,https://example.com/satellite_images/satellite_080.jpg
IMG-081,satellite_081.jpg,2026-02-18,19:25:38,ZONE-013,Base navale de Pearl Harbor,"21.4,-157.9",USA,High,1m,WorldView-3,1,Bâtiment de débarquement,23.3,https://example.com/satellite_images/satellite_081.jpg
IMG-082,satellite_082.jpg,2026-06-12,17:04:31,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,1m,Sentinel-2,0,Aucun,16.6,https://example.com/satellite_images/satellite_082.jpg
IMG-083,satellite_083.jpg,2026-04-16,20:48:47,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,1m,Landsat-8,4,"Destroyer, Croiseur, Pétrolier, Bâtiment de débarquement",4.3,https://example.com/satellite_images/satellite_083.jpg
IMG-084,satellite_084.jpg,2026-12-10,05:15:09,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,High,10m,WorldView-3,2,"Navire de guerre, Bâtiment de débarquement",3.9,https://example.com/satellite_images/satellite_084.jpg
IMG-085,satellite_085.jpg,2026-05-05,06:59:15,ZONE-013,Base navale de Pearl Harbor,"21.4,-157.9",USA,High,5m,Maxar,5,"Corvette, Bâtiment de débarquement, Cargo, Porte-avions, Croiseur",43.1,https://example.com/satellite_images/satellite_085.jpg
IMG-086,satellite_086.jpg,2026-06-11,18:05:05,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,10m,Maxar,3,"Pétrolier, Sous-marin, Croiseur",19.4,https://example.com/satellite_images/satellite_086.jpg
IMG-087,satellite_087.jpg,2026-07-03,22:36:58,ZONE-014,Port de Singapour,"1.3,103.8",Singapore,Low,10m,WorldView-3,2,"Croiseur, Corvette",11.5,https://example.com/satellite_images/satellite_087.jpg
IMG-088,satellite_088.jpg,2026-02-10,17:03:44,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,5m,PlanetScope,3,"Frégate, Destroyer, Cargo",16.5,https://example.com/satellite_images/satellite_088.jpg
IMG-089,satellite_089.jpg,2026-03-29,18:55:56,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,1m,Sentinel-2,2,"Navire civil, Navire de soutien",49.7,https://example.com/satellite_images/satellite_089.jpg
IMG-090,satellite_090.jpg,2026-08-16,00:20:55,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,10m,PlanetScope,4,"Bâtiment de débarquement, Cargo, Corvette, Sous-marin",44.0,https://example.com/satellite_images/satellite_090.jpg
IMG-091,satellite_091.jpg,2026-11-19,17:22:24,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,5m,Maxar,4,"Chalutier, Bâtiment de débarquement, Pétrolier, Destroyer",2.5,https://example.com/satellite_images/satellite_091.jpg
IMG-092,satellite_092.jpg,2026-01-17,08:57:22,ZONE-011,Port de Busan,"35.1,129.0",South Korea,Medium,1m,Landsat-8,1,Cargo,33.4,https://example.com/satellite_images/satellite_092.jpg
IMG-093,satellite_093.jpg,2026-08-26,03:30:21,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,10m,Sentinel-2,2,"Chalutier, Navire de guerre",43.9,https://example.com/satellite_images/satellite_093.jpg
IMG-094,satellite_094.jpg,2026-11-03,01:24:28,ZONE-012,Détroit d'Ormuz,"25.0,56.0",International,Critical,0.5m,PlanetScope,0,Aucun,5.3,https://example.com/satellite_images/satellite_094.jpg
IMG-095,satellite_095.jpg,2026-10-03,00:56:44,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,0.5m,Landsat-8,2,"Navire de soutien, Croiseur",40.9,https://example.com/satellite_images/satellite_095.jpg
IMG-096,satellite_096.jpg,2026-03-13,20:51:40,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,5m,PlanetScope,1,Croiseur,35.9,https://example.com/satellite_images/satellite_096.jpg
IMG-097,satellite_097.jpg,2026-10-18,19:57:16,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,10m,PlanetScope,4,"Navire de guerre, Navire de soutien, Pétrolier, Croiseur",15.8,https://example.com/satellite_images/satellite_097.jpg
IMG-098,satellite_098.jpg,2026-04-20,05:53:49,ZONE-003,Port de Shanghai,"31.2,121.5",China,Medium,10m,Landsat-8,5,"Navire de soutien, Bâtiment de débarquement, Pétrolier, Navire civil, Cargo",45.3,https://example.com/satellite_images/satellite_098.jpg
IMG-099,satellite_099.jpg,2026-04-28,20:53:55,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,10m,Landsat-8,5,"Navire de soutien, Cargo, Corvette, Bâtiment de débarquement, Navire de guerre",47.5,https://example.com/satellite_images/satellite_099.jpg
