ais_event_id,vessel_id,mmsi,vessel_name,vessel_type,vessel_group,is_military,flag_country,timestamp_utc,latitude,longitude,speed_knots,course_deg,course_change_deg,ais_status,ais_gap_minutes,maritime_zone,zone_risk_level,sensitive_zone_name,sensitive_zone_distance_km,near_sensitive_zone,nearest_vessel_distance_nm,nearby_vessel_count,route_pattern,signal_quality,behavior_label,behavior_flags,simulation_seed
AIS-0061-04,VES-0061,436542994,MN-706,Corvette,combat,True,Panama,2026-05-12T03:53:39.981602+00:00,19.38396,38.24873,28.9,67.3,11.3,Actif,0,Mer Rouge,High,Mer Rouge,102.22,False,0.56,1,variation de cap,0.871,suspect,proximite autre navire; vitesse atypique,20260513
AIS-0065-02,VES-0065,341484128,MN-204,Croiseur,combat_strategique,True,France,2026-05-12T03:56:04.289022+00:00,25.97905,56.91677,19.07,57.1,24.2,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,91.66,False,25.28,2,transit regulier,0.848,normal,aucun,20260513
AIS-0003-03,VES-0003,665786496,MN-805,Destroyer,combat_strategique,True,France,2026-05-12T04:25:42.884454+00:00,34.24614,32.56611,12.79,177.7,12.8,Actif,0,Méditerranée orientale,High,Méditerranée orientale,93.03,False,27.14,1,patrouille declaree,0.897,normal,aucun,20260513
AIS-0003-05,VES-0003,665786496,MN-805,Destroyer,combat_strategique,True,France,2026-05-12T04:27:42.884454+00:00,34.18622,32.57492,24.46,175.0,14.9,Actif,0,Méditerranée orientale,High,Méditerranée orientale,97.86,False,5.2,0,transit regulier,0.885,normal,aucun,20260513
AIS-0031-01,VES-0031,388206819,OCEAN-300,Pétrolier,civil,False,China,2026-05-12T04:41:26.701672+00:00,34.07154,31.19372,8.17,92.1,26.9,Actif,0,Méditerranée orientale,High,Méditerranée orientale,205.66,False,19.62,0,transit regulier,0.79,normal,aucun,20260513
AIS-0061-03,VES-0061,436542994,MN-706,Corvette,combat,True,Panama,2026-05-12T04:41:39.981602+00:00,19.39036,38.2727,18.64,95.5,20.2,Actif,0,Mer Rouge,High,Mer Rouge,100.74,False,1.5,4,loitering,0.825,suspect,proximite autre navire,20260513
AIS-0062-04,VES-0062,414242640,TRADE-483,Cargo,civil,False,Greece,2026-05-12T04:54:09.960142+00:00,26.42162,56.45684,0.45,201.3,137.2,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,65.38,False,3.24,1,loitering,0.825,suspect,variation cap forte,20260513
AIS-0014-01,VES-0014,566487148,ATL-212,Porte-conteneurs,civil,False,Singapore,2026-05-12T04:56:25.418615+00:00,25.00841,120.66191,10.4,192.5,36.1,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,48.37,False,4.77,2,transit regulier,0.676,normal,aucun,20260513
AIS-0024-01,VES-0024,414384704,ATL-236,Cargo,civil,False,China,2026-05-12T05:03:39.974249+00:00,44.55498,32.68976,2.15,303.9,83.9,Actif,0,Mer Noire,High,Mer Noire,64.37,False,1.14,5,loitering,0.99,suspect,proximite autre navire; variation cap forte,20260513
AIS-0076-05,VES-0076,381167275,MER-530,Pétrolier,civil,False,Liberia,2026-05-12T05:12:24.655296+00:00,26.83207,55.51777,11.59,231.6,20.8,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,104.24,False,10.68,0,patrouille declaree,0.928,normal,aucun,20260513
AIS-0003-04,VES-0003,665786496,MN-805,Destroyer,combat_strategique,True,France,2026-05-12T05:14:42.884454+00:00,34.29028,32.56251,16.87,172.2,9.1,Actif,0,Méditerranée orientale,High,Méditerranée orientale,89.45,False,18.26,0,transit regulier,0.896,normal,aucun,20260513
AIS-0065-03,VES-0065,341484128,MN-204,Croiseur,combat_strategique,True,France,2026-05-12T05:26:04.289022+00:00,26.01609,57.01519,21.66,72.5,14.2,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,101.47,False,3.75,1,approche portuaire,0.937,normal,aucun,20260513
AIS-0007-01,VES-0007,378503552,MER-359,Cargo,civil,False,Greece,2026-05-12T05:26:33.455730+00:00,44.50587,32.99236,15.06,212.9,7.9,Actif,0,Mer Noire,High,Mer Noire,41.56,True,12.38,1,transit regulier,0.81,normal,aucun,20260513
AIS-0050-05,VES-0050,407063508,ATL-108,Pétrolier,civil,False,Greece,2026-05-12T05:28:39.806795+00:00,33.86982,32.7994,7.46,50.5,5.0,Actif,0,Méditerranée orientale,High,Méditerranée orientale,120.3,False,23.82,1,patrouille declaree,0.926,normal,aucun,20260513
AIS-0024-02,VES-0024,414384704,ATL-236,Cargo,civil,False,China,2026-05-12T05:35:39.974249+00:00,44.50535,32.66037,10.14,326.3,168.8,Actif,0,Mer Noire,High,Mer Noire,67.36,False,1.51,2,rendez-vous probable,0.801,suspect,proximite autre navire; variation cap forte,20260513
AIS-0046-01,VES-0046,240150663,OCEAN-268,Cargo,civil,False,Singapore,2026-05-12T05:41:39.720673+00:00,26.11169,56.06383,15.6,236.1,31.9,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,13.96,True,15.81,2,patrouille declaree,0.695,normal,aucun,20260513
AIS-0016-01,VES-0016,667176357,TRADE-845,Pétrolier,civil,False,Liberia,2026-05-12T05:43:15.389530+00:00,42.40999,35.1142,10.95,65.3,11.5,Actif,0,Mer Noire,High,Mer Noire,276.12,False,3.58,1,loitering,0.813,normal,aucun,20260513
AIS-0031-02,VES-0031,388206819,OCEAN-300,Pétrolier,civil,False,China,2026-05-12T05:43:26.701672+00:00,34.07253,31.26935,13.3,90.1,22.6,Actif,0,Méditerranée orientale,High,Méditerranée orientale,199.44,False,22.55,0,transit regulier,0.913,normal,aucun,20260513
AIS-0014-04,VES-0014,566487148,ATL-212,Porte-conteneurs,civil,False,Singapore,2026-05-12T05:53:25.418615+00:00,24.80151,120.62686,14.54,197.1,21.0,Interrompu,240,Détroit de Taïwan,Critical,Détroit de Taïwan,39.33,True,4.98,1,route sombre,0.599,suspect,coupure AIS,20260513
AIS-0014-02,VES-0014,566487148,ATL-212,Porte-conteneurs,civil,False,Singapore,2026-05-12T05:58:25.418615+00:00,24.9933,120.66471,12.63,228.3,18.7,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,46.99,False,21.13,1,approche portuaire,0.99,normal,aucun,20260513
AIS-0045-01,VES-0045,582721425,MN-104,Corvette,combat,True,Turkey,2026-05-12T05:59:12.754917+00:00,25.15489,120.30925,23.63,68.5,12.7,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,86.08,False,19.13,0,approche portuaire,0.915,normal,aucun,20260513
AIS-0031-04,VES-0031,388206819,OCEAN-300,Pétrolier,civil,False,China,2026-05-12T06:02:26.701672+00:00,34.05194,31.4578,9.24,96.0,28.2,Actif,0,Méditerranée orientale,High,Méditerranée orientale,185.46,False,15.07,2,approche portuaire,0.677,normal,aucun,20260513
AIS-0007-02,VES-0007,378503552,MER-359,Cargo,civil,False,Greece,2026-05-12T06:04:33.455730+00:00,44.41588,32.83502,10.03,233.5,15.1,Actif,0,Mer Noire,High,Mer Noire,56.57,True,11.46,1,transit regulier,0.745,normal,aucun,20260513
AIS-0006-05,VES-0006,206612062,ATL-563,Pétrolier,civil,False,France,2026-05-12T06:04:56.453809+00:00,24.88987,120.3878,9.58,26.1,11.1,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,65.31,False,24.58,1,transit regulier,0.962,normal,aucun,20260513
AIS-0016-02,VES-0016,667176357,TRADE-845,Pétrolier,civil,False,Liberia,2026-05-12T06:13:15.389530+00:00,42.47414,35.27119,13.83,85.6,156.8,Actif,0,Mer Noire,High,Mer Noire,276.14,False,3.68,3,loitering,0.944,suspect,variation cap forte,20260513
AIS-0024-03,VES-0024,414384704,ATL-236,Cargo,civil,False,China,2026-05-12T06:17:39.974249+00:00,44.61035,32.51997,1.48,10.2,20.9,Actif,0,Mer Noire,High,Mer Noire,77.59,False,3.45,5,variation de cap,0.812,normal,aucun,20260513
AIS-0039-01,VES-0039,261939875,NORD-810,Cargo,civil,False,Marshall Islands,2026-05-12T06:25:32.980532+00:00,19.54423,39.95784,13.87,2.2,15.2,Actif,0,Mer Rouge,High,Mer Rouge,130.26,False,9.58,2,transit regulier,0.873,normal,aucun,20260513
AIS-0045-02,VES-0045,582721425,MN-104,Corvette,combat,True,Turkey,2026-05-12T06:34:12.754917+00:00,25.19308,120.36888,21.12,85.9,6.0,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,83.99,False,14.12,1,approche portuaire,0.834,normal,aucun,20260513
AIS-0024-04,VES-0024,414384704,ATL-236,Cargo,civil,False,China,2026-05-12T06:36:39.974249+00:00,44.66924,32.38371,0.53,343.4,74.4,Actif,0,Mer Noire,High,Mer Noire,88.66,False,2.09,2,loitering,0.839,suspect,variation cap forte,20260513
AIS-0007-03,VES-0007,378503552,MER-359,Cargo,civil,False,Greece,2026-05-12T06:52:33.455730+00:00,44.41886,32.85516,11.85,193.0,4.2,Actif,0,Mer Noire,High,Mer Noire,54.96,True,15.08,1,patrouille declaree,0.948,normal,aucun,20260513
AIS-0031-03,VES-0031,388206819,OCEAN-300,Pétrolier,civil,False,China,2026-05-12T06:53:26.701672+00:00,34.04954,31.29556,9.92,118.6,14.7,Actif,0,Méditerranée orientale,High,Méditerranée orientale,198.54,False,6.76,1,approche portuaire,0.965,normal,aucun,20260513
AIS-0073-01,VES-0073,576747216,MN-856,Frégate,combat,True,France,2026-05-12T07:03:18.983944+00:00,24.81528,120.60884,24.26,338.4,11.9,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,41.53,True,25.6,0,transit regulier,0.853,normal,aucun,20260513
AIS-0046-02,VES-0046,240150663,OCEAN-268,Cargo,civil,False,Singapore,2026-05-12T07:06:39.720673+00:00,26.05326,56.04313,14.07,233.6,15.8,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,7.32,True,9.14,0,approche portuaire,0.949,normal,aucun,20260513
AIS-0014-05,VES-0014,566487148,ATL-212,Porte-conteneurs,civil,False,Singapore,2026-05-12T07:08:25.418615+00:00,24.56131,120.57307,18.46,222.0,30.4,Interrompu,45,Détroit de Taïwan,Critical,Détroit de Taïwan,45.83,False,3.88,1,coupure AIS,0.575,suspect,coupure AIS,20260513
AIS-0046-05,VES-0046,240150663,OCEAN-268,Cargo,civil,False,Singapore,2026-05-12T07:09:39.720673+00:00,26.03867,56.0153,8.13,246.0,8.8,Interrompu,360,Détroit d'Ormuz,Critical,Détroit d'Ormuz,4.56,True,14.56,1,coupure AIS,0.348,suspect,coupure AIS,20260513
AIS-0001-01,VES-0001,500249526,TRADE-369,Pétrolier,civil,False,Taiwan,2026-05-12T07:18:48.987822+00:00,25.96471,56.15137,11.18,27.0,5.5,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,15.63,True,3.07,2,rendez-vous probable,0.848,suspect,proximite zone sensible,20260513
AIS-0045-03,VES-0045,582721425,MN-104,Corvette,combat,True,Turkey,2026-05-12T07:19:12.754917+00:00,25.20723,120.40848,16.14,61.2,19.1,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,82.08,False,13.7,1,approche portuaire,0.814,normal,aucun,20260513
AIS-0014-03,VES-0014,566487148,ATL-212,Porte-conteneurs,civil,False,Singapore,2026-05-12T07:22:25.418615+00:00,24.81091,120.61744,17.93,221.8,18.3,Interrompu,90,Détroit de Taïwan,Critical,Détroit de Taïwan,40.55,True,13.01,1,route sombre,0.453,suspect,coupure AIS,20260513
AIS-0065-04,VES-0065,341484128,MN-204,Croiseur,combat_strategique,True,France,2026-05-12T07:47:04.289022+00:00,26.06682,57.05863,14.65,83.8,20.9,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,106.03,False,27.45,0,patrouille declaree,0.99,normal,aucun,20260513
AIS-0073-02,VES-0073,576747216,MN-856,Frégate,combat,True,France,2026-05-12T07:50:18.983944+00:00,24.90154,120.50425,19.61,323.7,7.7,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,54.83,False,23.74,0,transit regulier,0.891,normal,aucun,20260513
AIS-0039-02,VES-0039,261939875,NORD-810,Cargo,civil,False,Marshall Islands,2026-05-12T07:52:32.980532+00:00,19.56339,39.95961,9.5,341.4,18.2,Actif,0,Mer Rouge,High,Mer Rouge,131.76,False,14.16,0,patrouille declaree,0.656,normal,aucun,20260513
AIS-0039-03,VES-0039,261939875,NORD-810,Cargo,civil,False,Marshall Islands,2026-05-12T07:53:32.980532+00:00,19.74928,39.90041,8.21,42.7,15.8,Actif,0,Mer Rouge,High,Mer Rouge,141.68,False,16.65,1,transit regulier,0.969,normal,aucun,20260513
AIS-0046-03,VES-0046,240150663,OCEAN-268,Cargo,civil,False,Singapore,2026-05-12T07:59:39.720673+00:00,26.00555,55.97347,17.56,222.1,13.2,Interrompu,30,Détroit d'Ormuz,Critical,Détroit d'Ormuz,2.72,True,5.27,0,coupure AIS,0.502,suspect,coupure AIS,20260513
AIS-0061-05,VES-0061,436542994,MN-706,Corvette,combat,True,Panama,2026-05-12T07:59:39.981602+00:00,19.33889,38.63348,18.21,127.4,128.1,Actif,0,Mer Rouge,High,Mer Rouge,71.23,False,0.77,5,loitering,0.799,suspect,proximite autre navire; variation cap forte,20260513
AIS-0001-02,VES-0001,500249526,TRADE-369,Pétrolier,civil,False,Taiwan,2026-05-12T08:19:48.987822+00:00,25.98961,56.23409,20.19,353.2,16.2,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,23.42,True,1.07,4,loitering,0.99,suspect,proximite zone sensible; proximite autre navire; vitesse atypique,20260513
